customer_id,customer_name,id_number,date_of_birth,gender,employment_status,monthly_income,marital_status,customer_segment,province,email,phone,credit_score,onboarding_date,source_system,record_created_at
CUST000047,Dr Michelle Dunn,76042064020835,1976-04-20,M,Employed,14034.63,Married,Retail,Gauteng,flynnjade@example.com,+44(0)131 4960598,343,2023-05-23,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000048,Lee Brown-Moore,82061228240861,1982-06-12,F,Employed,36362.47,Single,Retail,Western Cape,lynnfry@example.net,+441632 960 632,332,2017-06-17,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000049,Sylvia Hudson,67040208900869,1967-04-02,F,Employed,324452.99,Single,Private Banking,KwaZulu-Natal,qwatson@example.com,0117 4960069,664,2022-11-19,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000050,Carol Price,56032994620820,1956-03-29,M,Unemployed,7319.56,Married,Senior,Eastern Cape,hodgsoncharlotte@example.com,+4420 7496 0358,300,2015-12-24,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000051,Roger Mahmood,54021038030811,1954-02-10,F,Employed,233233.07,Single,Private Banking,Western Cape,hilaryscott@example.com,(0115) 4960136,667,2017-08-21,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000052,Melanie Robinson-Jarvis,70061216780831,1970-06-12,F,Contract,44360.45,Married,Retail,KwaZulu-Natal,gregoryamy@example.org,(0121) 4960259,309,2019-01-21,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000053,Terence Barnes,75121808320820,1975-12-18,F,Self-Employed,16516.55,Widowed,Youth,Gauteng,staylor@example.org,+4428 9018430,347,2015-01-12,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000054,Dr Jordan Hart,57022749390830,1957-02-27,F,Employed,44015.87,Married,Retail,Limpopo,bellholly@example.net,(028) 9018542,428,2017-04-12,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000055,Mr Patrick Murray,70112000030858,1970-11-20,F,Self-Employed,34600.31,Married,Business,KwaZulu-Natal,smithmatthew@example.com,+44(0)191 496 0573,403,2015-03-12,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000056,Jemma Brown-Glover,59012309220838,1959-01-23,F,Retired,15919.64,Single,Retail,Eastern Cape,gbradley@example.net,+44(0)1174960794,300,2019-01-24,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000057,Jenna Smith,84020784560840,1984-02-07,M,Employed,38215.0,Single,Retail,Western Cape,pcox@example.com,0289018182,342,2021-04-06,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000058,Samuel Lewis,74120992040895,1974-12-09,M,Employed,102332.78,Married,Private Banking,Gauteng,declangill@example.net,+44(0)1144960237,463,2020-04-25,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000059,Karen Freeman,90090576030826,1990-09-05,M,Unemployed,4631.76,Married,Business,Western Cape,richardsonkelly@example.net,0118 4960243,300,2016-07-01,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000060,Donna Roberts,82092488310873,1982-09-24,M,Self-Employed,37671.86,Married,Retail,Western Cape,jeffrey95@example.com,028 9018 0576,336,2016-03-27,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000061,Adrian Harvey,64080494730883,1964-08-04,M,Employed,28758.43,Married,Retail,Gauteng,tstokes@example.org,(028) 9018167,389,2015-09-02,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000062,Robert Bell-Woods,83031978250858,1983-03-19,M,Self-Employed,10361.1,Single,Retail,Gauteng,jacksonjamie@example.com,+44117 4960830,300,2018-12-01,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000063,Mr Aaron Yates,81111509930834,1981-11-15,F,Self-Employed,147886.03,Married,Business,Eastern Cape,sferguson@example.net,+441632 960 781,465,2019-01-18,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000064,Julie Wood,68101867870867,1968-10-18,M,Contract,10242.09,Single,Retail,Gauteng,mandy34@example.org,+44118 496 0109,339,2023-09-25,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000065,Mr Mitchell Clarke,73121456080895,1973-12-14,M,Unemployed,6539.75,Single,Retail,Mpumalanga,ywilkins@example.com,(0161) 4960165,300,2016-07-24,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000066,Claire Robinson-Martin,56052844660847,1956-05-28,F,Employed,37315.81,Divorced,Business,Gauteng,heatherhayward@example.com,(0151)4960356,385,2018-04-22,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000067,Billy Evans-Lloyd,65050975150843,1965-05-09,M,Employed,53357.55,Single,Business,Free State,ctaylor@example.org,0909 879 0131,420,2020-02-29,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000068,Mrs Jade Collins,97120248540816,1997-12-02,F,Self-Employed,195545.19,Married,Private Banking,Free State,barnettlisa@example.org,+44121 496 0642,565,2016-08-13,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000069,Amber Pearce,71121863810884,1971-12-18,M,Employed,137672.01,Married,Business,Western Cape,qlee@example.org,+441632 960648,488,2021-03-08,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000070,Paul Harvey,64082926460816,1964-08-29,F,Self-Employed,24527.18,Widowed,Youth,Free State,samuel19@example.org,+44(0)306 999 0009,308,2019-09-21,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000071,Elaine Cooper,91062211530860,1991-06-22,F,Employed,7356.46,Divorced,Youth,Limpopo,walkerjudith@example.org,(0141) 4960384,385,2017-09-20,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000072,Graham Hughes-Perkins,84011674080875,1984-01-16,M,Employed,139937.22,Single,Private Banking,Gauteng,frances74@example.net,(0141)4960613,506,2017-05-13,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000073,Hannah Walton,74032153520822,1974-03-21,M,Employed,92707.97,Divorced,Business,North West,max95@example.org,+44(0)1614960179,490,2017-07-08,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000074,Mrs Nicole Thomson,99122035320845,1999-12-20,F,Self-Employed,38940.11,Single,Retail,Gauteng,mandyevans@example.net,(028)9018176,379,2015-08-17,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000075,Mary Garner,69091423320816,1969-09-14,F,Contract,20082.47,Divorced,Senior,Gauteng,slane@example.net,(0131) 496 0448,362,2023-05-18,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000076,Antony Hicks,79020419370867,1979-02-04,F,Employed,19899.59,Single,Retail,KwaZulu-Natal,billy75@example.org,01414960124,313,2016-07-18,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000077,Rosie Slater,55010716780897,1955-01-07,F,Employed,28764.54,Divorced,Retail,Gauteng,katherinehughes@example.com,+44(0)306 9990116,374,2016-04-25,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000078,Susan Norris,70072070490823,1970-07-20,M,Employed,17639.36,Divorced,Retail,Gauteng,idean@example.net,+44(0)3069990249,386,2022-10-20,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000079,Frank McCarthy-Smith,52111782630870,1952-11-17,M,Contract,22842.92,Married,Retail,North West,yduncan@example.org,+44(0)1514960402,310,2022-11-23,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000080,Caroline Jones,78042093760823,1978-04-20,M,Employed,16312.94,Widowed,Senior,Northern Cape,wstanley@example.com,01184960253,370,2016-08-09,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000081,Duncan Gray-Walsh,85122811610869,1985-12-28,F,Self-Employed,166703.97,Married,Business,Eastern Cape,lynne66@example.org,029 2018247,458,2019-03-27,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000082,Philip Lloyd,74010840930895,1974-01-08,F,Employed,187123.47,Married,Business,Western Cape,taylorcallum@example.com,01164960225,553,2023-03-22,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000083,Terry Whitehouse,55120992050831,1955-12-09,M,Employed,159127.27,Single,Business,Mpumalanga,bradley61@example.net,+441154960655,486,2015-04-18,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000084,William Davison-Dodd,68120565290819,1968-12-05,M,Contract,24246.09,Single,Retail,Gauteng,msims@example.com,+441414960637,309,2022-10-22,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000085,Jade Hilton-Davies,00111951140830,2000-11-19,M,Employed,26660.39,Divorced,Retail,North West,cholmes@example.org,+44(0)1632 960495,320,2019-10-06,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000086,Ben McKenzie,78032657550872,1978-03-26,M,Employed,51262.53,Married,Business,Western Cape,fostergerard@example.com,(0909)8790466,368,2019-03-03,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000087,Abdul West-Jones,69012848250878,1969-01-28,F,Employed,156967.0,Married,Business,Limpopo,margaret92@example.com,(0161)4960235,484,2015-08-10,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000088,Mr Oliver Elliott,94101514940823,1994-10-15,F,Employed,30069.6,Married,Retail,KwaZulu-Natal,johnsonmarion@example.org,(0161)4960751,347,2022-11-12,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000089,Olivia Lewis,85063015840843,1985-06-30,F,Employed,459024.8,Single,Private Banking,Free State,jillparker@example.net,+44(0)1632960502,850,2016-03-10,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000090,Karl French,91030292550863,1991-03-02,M,Employed,15422.61,Single,Retail,Limpopo,kennethbegum@example.org,0114 496 0045,388,2022-06-07,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000091,Jean Nash,62102664050883,1962-10-26,M,Self-Employed,36109.87,Married,Retail,Mpumalanga,bethanycooper@example.org,+44161 496 0031,335,2021-07-10,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000092,Katie Russell,73100644730853,1973-10-06,F,Self-Employed,33332.85,Single,Retail,KwaZulu-Natal,morrisstacey@example.com,+441144960997,368,2015-10-30,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000093,Patricia Hancock,62071240240897,1962-07-12,F,Self-Employed,17836.28,Married,Retail,Limpopo,ihart@example.org,0118 4960581,342,2020-05-07,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000094,Elizabeth Dixon,72021649680866,1972-02-16,F,Employed,360299.03,Single,Private Banking,Eastern Cape,diana09@example.net,(029) 2018 0513,764,2021-08-29,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000095,Declan Cooper,00051219150864,2000-05-12,F,Self-Employed,468236.82,Married,Private Banking,Gauteng,bernardbibi@example.net,0306 9990127,775,2016-10-09,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000096,Henry Morris,98051068970879,1998-05-10,M,Self-Employed,41982.13,Single,Retail,KwaZulu-Natal,sgardner@example.net,0115 496 0069,350,2015-05-04,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000097,Hugh Morgan,73072819900824,1973-07-28,F,Employed,152336.52,Married,Business,Gauteng,tina84@example.com,(0121)4960454,519,2016-08-24,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000098,Dr Jennifer Thomson,88060892210832,1988-06-08,M,Self-Employed,38172.43,Married,Business,Limpopo,shawkerry@example.org,+44115 4960081,334,2019-02-05,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000099,Mr Clive Sutton,85103194520897,1985-10-31,M,Unemployed,6978.11,Divorced,Retail,Gauteng,bennettpeter@example.org,(0115) 496 0289,300,2016-08-01,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000100,Miss Jemma Young,82062376080862,1982-06-23,M,Employed,32337.81,Single,Retail,Free State,shirley86@example.net,0909 8790115,354,2015-11-20,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000101,Roy Wood,69090452380853,1969-09-04,M,Unemployed,2483.47,Single,Senior,Western Cape,dwilliams@example.com,+44(0)1632960331,300,2017-09-30,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000102,Francesca Byrne-Williams,62053018750883,1962-05-30,F,Employed,61832.56,Single,Business,Gauteng,ewilkinson@example.org,01144960288,416,2015-11-12,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000103,Mr David Matthews,95091886830812,1995-09-18,M,Employed,10253.71,Single,Senior,North West,amandaedwards@example.net,+44(0)161 496 0736,346,2015-02-21,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000104,Hannah Thomas,94041190370899,1994-04-11,M,Employed,9858.77,Single,Retail,Gauteng,molly24@example.com,+44(0)1314960964,367,2021-05-20,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000105,Ronald Scott,58022648210879,1958-02-26,F,Self-Employed,158197.55,Single,Business,Western Cape,maureen95@example.com,0808 1570079,442,2019-09-02,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000106,Emily Stevens,54032485110861,1954-03-24,M,Employed,16726.19,Single,Retail,Eastern Cape,pconway@example.net,(0161)4960552,399,2016-09-05,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000107,Carolyn Jones,59110259740868,1959-11-02,M,Unemployed,194.02,Married,Retail,Gauteng,derekthomson@example.com,+44161 4960556,300,2023-08-02,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000108,Stephanie Ford,63091839180899,1963-09-18,F,Contract,97536.01,Married,Business,Western Cape,trevor98@example.com,+44(0)9098790089,404,2017-01-17,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000109,Emma Taylor,64050955000861,1964-05-09,M,Self-Employed,25856.46,Divorced,Retail,KwaZulu-Natal,anne18@example.net,020 74960997,337,2020-04-08,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000110,Maureen Evans,87111690670840,1987-11-16,M,Employed,14261.52,Widowed,Retail,North West,maureen33@example.com,0118 496 0927,397,2023-05-04,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000111,Owen Lee,55091383180876,1955-09-13,M,Unemployed,352.39,Married,Retail,Gauteng,wrightcarly@example.com,01134960751,300,2016-07-27,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000112,Amber Shaw,84070962000811,1984-07-09,M,Contract,14997.64,Married,Retail,Gauteng,mohammed42@example.org,09098790738,300,2023-05-23,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000113,Steven Oliver,84032729900810,1984-03-27,F,Employed,145447.47,Married,Business,Western Cape,lprice@example.org,+44121 4960699,506,2020-11-30,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000114,Glen Brooks,91122930810879,1991-12-29,F,Self-Employed,11043.02,Single,Retail,Western Cape,fosterlisa@example.net,0131 496 0509,304,2022-11-01,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000115,Miss Patricia Bates,97062111760820,1997-06-21,F,Self-Employed,28536.37,Married,Retail,Western Cape,julieedwards@example.com,(0131) 4960319,337,2018-05-11,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000116,Dr Duncan Marsh,72072214000833,1972-07-22,F,Self-Employed,13417.24,Single,Retail,Gauteng,jeffreyking@example.com,(0114) 4960302,320,2020-04-09,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000117,Ashley Hall,99082018340890,1999-08-20,F,Employed,15240.5,Divorced,Retail,KwaZulu-Natal,danielbutler@example.com,+44118 4960355,399,2019-08-13,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000118,Dr Ross Simpson,51011278610851,1951-01-12,M,Employed,96823.24,Widowed,Business,Mpumalanga,jmorgan@example.com,(0191) 496 0060,419,2023-02-07,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000119,Megan Edwards-Green,60041113040821,1960-04-11,F,Employed,11730.54,Married,Retail,Gauteng,greenwoodpamela@example.com,(0141)4960057,306,2018-10-13,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000120,Carol Moore,98030532220896,1998-03-05,F,Employed,152745.47,Widowed,Private Banking,Gauteng,wayne30@example.org,+44161 496 0642,510,2019-12-24,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000121,Amelia Smith-Turner,73120929980811,1973-12-09,F,Self-Employed,20911.24,Single,Retail,KwaZulu-Natal,jonesscott@example.net,(028)9018508,331,2023-10-06,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000122,Dorothy Preston,80070827440879,1980-07-08,F,Retired,9945.04,Married,Retail,Gauteng,jennadavies@example.com,028 9018222,300,2022-03-26,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000123,Rosemary Pope,60010486640823,1960-01-04,M,Retired,16239.07,Married,Youth,KwaZulu-Natal,kerry14@example.com,029 2018 0821,324,2022-10-18,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000124,Rosie Mason-Robson,76050171700861,1976-05-01,M,Self-Employed,42712.99,Single,Business,Gauteng,brandonphillips@example.org,+441414960816,362,2015-02-24,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000125,Dawn Connor,89010296640829,1989-01-02,M,Self-Employed,39836.68,Widowed,Retail,Western Cape,johnsonsian@example.net,+44(0)28 9018 0972,314,2018-03-20,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000126,Mr Benjamin Walsh,64031055960876,1964-03-10,M,Employed,422817.51,Married,Private Banking,Western Cape,gthomas@example.net,08081570788,817,2016-03-31,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000127,Jenna Hewitt,90091514270819,1990-09-15,F,Self-Employed,36341.69,Married,Retail,Gauteng,robert84@example.net,029 2018 0176,303,2016-09-30,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000128,Iain Blake,50041746740827,1950-04-17,F,Employed,209936.39,Single,Private Banking,Limpopo,kaurjanice@example.org,+44118 4960360,593,2015-09-03,CORE_BANKING,2026-04-18 13:21:48.668940
CUST000129,Mr Terence Hancock,73081876810882,1973-08-18,M,Employed,169889.9,Widowed,Business,North West,hartraymond@example.org,(0114) 496 0845,578,2022-03-16,CORE_BANKING,2026-04-18 13:21:48.668940
